iter	Passed	Remaining
457	811	960
458	814	959
459	815	957
460	817	955
461	818	952
462	819	950
463	820	947
464	821	945
465	822	942
466	823	940
467	824	937
468	825	935
469	827	933
470	829	931
471	830	928
472	831	926
473	832	923
474	833	921
475	834	919
476	835	916
477	837	914
478	838	911
479	839	909
480	840	906
481	841	904
482	843	902
483	844	900
484	846	898
485	847	896
486	848	893
487	849	891
488	850	888
489	851	886
490	852	884
491	853	881
492	854	879
493	855	876
494	857	874
495	859	873
496	860	871
497	861	868
498	862	866
499	863	863
500	864	861
501	866	859
502	867	856
503	868	854
504	869	852
505	870	849
506	871	847
507	872	845
508	875	844
509	876	842
510	878	840
511	880	838
512	881	836
513	882	834
514	883	832
515	884	829
516	885	827
517	886	825
518	888	823
519	890	822
520	892	820
521	893	817
522	894	815
523	895	813
524	896	811
525	897	808
526	898	806
527	899	804
528	900	802
529	901	799
530	903	797
531	906	797
532	908	795
533	910	794
534	912	792
535	913	791
536	915	789
537	917	787
538	918	785
539	922	785
540	924	784
541	925	782
542	927	780
543	928	778
544	930	776
545	931	774
546	933	772
547	936	772
548	937	770
549	939	768
550	940	766
551	942	764
552	943	762
553	945	760
554	946	759
555	948	757
556	949	755
557	952	754
558	954	752
559	955	750
560	957	748
561	959	748
562	961	746
563	962	743
564	963	741
565	964	739
566	967	738
567	968	736
568	969	734
569	970	732
570	971	730
571	972	728
572	974	725
573	975	723
574	976	721
575	977	719
576	979	717
577	980	715
578	983	714
579	984	712
580	985	710
581	987	708
582	988	706
583	989	704
584	990	702
585	992	700
586	993	698
587	994	697
588	997	695
589	998	693
590	999	691
591	1001	689
592	1002	687
593	1003	685
594	1004	683
595	1005	681
596	1007	679
597	1008	677
598	1009	675
599	1010	673
600	1014	673
601	1017	672
602	1019	671
603	1022	670
604	1024	668
605	1026	667
606	1031	667
607	1034	666
608	1036	665
609	1038	663
610	1040	662
611	1041	660
612	1045	660
613	1047	658
614	1049	657
615	1051	655
616	1053	653
617	1054	651
618	1056	650
619	1063	652
620	1065	650
621	1066	648
622	1068	646
623	1070	644
624	1073	643
625	1077	643
626	1079	642
627	1081	640
628	1083	638
629	1084	636
630	1086	635
631	1088	633
632	1091	633
633	1093	631
634	1095	629
635	1097	628
636	1100	626
637	1102	625
638	1106	625
639	1108	623
640	1110	622
641	1112	620
642	1113	618
643	1115	616
644	1116	614
645	1117	612
646	1119	610
647	1122	609
648	1124	607
649	1125	606
650	1127	604
651	1128	602
652	1130	600
653	1131	598
654	1133	596
655	1134	595
656	1137	593
657	1139	592
658	1140	590
659	1142	588
660	1144	586
661	1145	584
662	1147	583
663	1148	581
664	1150	579
665	1153	578
666	1155	576
667	1156	574
668	1158	573
669	1160	571
670	1161	569
671	1163	567
672	1165	566
673	1168	565
674	1170	563
675	1172	561
676	1173	560
677	1175	558
678	1177	556
679	1179	555
680	1181	553
681	1185	552
682	1187	551
683	1189	549
684	1191	547
685	1193	546
686	1195	544
687	1197	542
688	1201	542
689	1203	540
690	1205	538
691	1207	537
692	1209	535
693	1211	534
694	1214	532
695	1217	531
696	1220	530
697	1222	529
698	1225	527
699	1227	525
700	1229	524
701	1232	523
702	1234	521
703	1237	520
704	1239	518
705	1241	516
706	1243	515
707	1247	514
708	1249	513
709	1252	511
710	1254	509
711	1256	508
712	1259	506
713	1263	506
714	1265	504
715	1268	503
716	1270	501
717	1273	500
718	1276	498
719	1279	497
720	1282	496
721	1284	494
722	1287	493
723	1289	491
724	1293	490
725	1296	489
726	1298	487
727	1301	486
728	1303	484
729	1305	483
730	1312	482
731	1316	482
732	1319	480
733	1321	479
734	1326	478
735	1328	476
736	1331	474
737	1333	473
738	1335	471
739	1339	470
740	1342	469
741	1344	467
742	1347	466
743	1349	464
744	1352	462
745	1356	461
746	1359	460
747	1361	458
748	1363	457
749	1366	455
750	1368	453
751	1372	452
752	1375	451
753	1377	449
754	1380	447
755	1382	446
756	1386	445
757	1389	443
758	1391	441
759	1394	440
760	1396	438
761	1398	436
762	1403	435
763	1405	434
764	1408	432
765	1410	430
766	1412	429
767	1415	427
768	1420	426
769	1423	425
770	1426	423
771	1428	421
772	1430	420
773	1434	418
774	1437	417
775	1439	415
776	1442	413
777	1444	412
778	1446	410
779	1450	409
780	1453	407
781	1456	406
782	1458	404
783	1461	402
784	1465	401
785	1468	399
786	1470	398
787	1473	396
788	1475	394
789	1478	393
790	1481	391
791	1484	389
792	1486	388
793	1488	386
794	1491	384
795	1495	383
796	1497	381
797	1500	379
798	1502	378
799	1505	376
800	1507	374
801	1512	373
802	1516	371
803	1518	370
804	1521	368
805	1523	366
806	1527	365
807	1530	363
808	1532	361
809	1535	360
810	1536	358
811	1539	356
812	1543	354
813	1546	353
814	1549	351
815	1552	349
816	1554	348
817	1558	346
818	1560	344
819	1562	343
820	1565	341
821	1567	339
822	1569	337
823	1573	336
824	1576	334
825	1577	332
826	1580	330
827	1582	328
828	1584	326
829	1586	324
830	1589	323
831	1591	321
832	1593	319
833	1595	317
834	1597	315
835	1599	313
836	1601	311
837	1605	310
838	1607	308
839	1609	306
840	1610	304
841	1612	302
842	1614	300
843	1616	298
844	1620	297
845	1622	295
846	1624	293
847	1626	291
848	1628	289
849	1629	287
850	1631	285
851	1634	283
852	1636	282
853	1638	280
854	1639	278
855	1641	276
856	1643	274
857	1644	272
858	1646	270
859	1647	268
860	1651	266
861	1653	264
862	1654	262
863	1656	260
864	1657	258
865	1659	256
866	1661	254
867	1662	252
868	1664	250
869	1666	249
870	1668	247
871	1669	245
872	1671	243
873	1672	241
874	1674	239
875	1675	237
876	1676	235
877	1678	233
878	1681	231
879	1683	229
880	1684	227
881	1685	225
882	1687	223
883	1688	221
884	1690	219
885	1691	217
886	1692	215
887	1694	213
888	1697	211
889	1699	210
890	1701	208
891	1703	206
892	1704	204
893	1706	202
894	1707	200
895	1708	198
896	1710	196
897	1713	194
898	1715	192
899	1716	190
900	1718	188
901	1719	186
902	1721	184
903	1722	182
904	1724	180
905	1725	179
906	1728	177
907	1729	175
908	1730	173
909	1732	171
910	1733	169
911	1734	167
912	1735	165
913	1736	163
914	1737	161
915	1739	159
916	1740	157
917	1741	155
918	1744	153
919	1745	151
920	1746	149
921	1747	147
922	1748	145
923	1750	143
924	1751	141
925	1752	140
926	1753	138
927	1754	136
928	1755	134
929	1757	132
930	1759	130
931	1760	128
932	1762	126
933	1763	124
934	1764	122
935	1765	120
936	1766	118
937	1768	116
938	1769	114
939	1770	113
940	1771	111
941	1772	109
942	1775	107
943	1776	105
944	1777	103
945	1778	101
946	1779	99
947	1780	97
948	1782	95
949	1783	93
950	1784	91
951	1785	90
952	1786	88
953	1787	86
954	1790	84
955	1791	82
956	1793	80
957	1794	78
958	1795	76
959	1796	74
960	1797	72
961	1799	71
962	1800	69
963	1801	67
964	1802	65
965	1803	63
966	1806	61
967	1807	59
968	1809	57
969	1810	55
970	1811	54
971	1812	52
972	1813	50
973	1814	48
974	1816	46
975	1817	44
976	1818	42
977	1819	40
978	1822	39
979	1824	37
980	1825	35
981	1826	33
982	1827	31
983	1828	29
984	1830	27
985	1831	26
986	1832	24
987	1833	22
988	1834	20
989	1837	18
990	1838	16
991	1840	14
992	1841	12
993	1842	11
994	1844	9
995	1845	7
996	1846	5
997	1848	3
998	1849	1
999	1852	0
